Grupos,CaixaPostal,ReduzioAtraso,PFPJ,AtrasoAgosto,AtrasoOutubro,AtrasoDezembro,Variacao,Deducao
Controle,"NA",sim,PF,3,6,6,0,913.5424557791589
Controle,"NA",sim,PF,4,5,6,1,619.8194154475236
Controle,"NA",sim,PF,3,3,4,1,628.3876399819728
Controle,"NA",sim,PJ,0,0,2,2,718.8319867911044
Controle,"NA",sim,PF,3,3,3,0,587.3976056798017
Controle,"NA",sim,PJ,4,4,6,2,548.8319479106455
Controle,"NA",sim,PF,6,8,8,0,609.7359831815617
Controle,"NA",sim,PJ,3,3,4,1,578.8187595951689
Controle,"NA",sim,PF,1,0,0,0,714.2521518420216
Controle,"NA",sim,PF,2,6,7,1,680.1389611792589
Controle,"NA",sim,PJ,0,1,1,0,540.3990248129169
Controle,"NA",sim,PJ,2,2,3,1,614.360913535453
Controle,"NA",sim,PJ,1,4,4,0,599.7291187393726
Controle,"NA",sim,PF,0,0,0,0,486.9164940030655
Controle,"NA",sim,PJ,5,4,6,2,603.1844717043749
Controle,"NA",sim,PF,2,3,5,2,741.4617409708882
Controle,"NA",sim,PF,1,4,4,0,611.4313866838544
Controle,"NA",sim,PF,4,5,5,0,532.5452644991577
Controle,"NA",sim,PF,0,0,0,0,542.0629851831201
Controle,"NA",sim,PF,2,1,1,0,580.3312631903366
Controle,"NA",sim,PF,2,5,8,3,733.15545978726675
Controle,"NA",sim,PF,0,0,3,3,701.8423130353794
Controle,"NA",sim,PJ,1,2,4,2,673.5244395665896
Controle,"NA",sim,PF,1,0,1,1,781.6626691620515
Controle,"NA",sim,PF,3,3,3,0,682.3872153105991
Controle,"NA",sim,PF,3,5,6,1,732.1489259021787
Controle,"NA",sim,PF,3,5,5,0,654.8894914812431
Controle,"NA",sim,PF,4,4,6,2,640.6884958154743
Controle,"NA",sim,PF,3,5,7,2,676.3782522931457
Controle,"NA",sim,PF,0,0,0,0,810.1375807702883
Controle,"NA",sim,PF,1,1,3,2,593.4633182285322
Controle,"NA",sim,PJ,4,5,6,1,580.0063095830536
Controle,"NA",sim,PF,2,3,4,1,830.5765746191562
Controle,"NA",sim,PF,2,3,4,1,697.946181640415
Controle,"NA",sim,PF,5,8,9,1,467.43014751726975
Controle,"NA",sim,PF,2,2,6,4,533.5131592287332
Controle,"NA",sim,PJ,1,4,5,1,727.8552414652995
Controle,"NA",sim,PJ,3,2,4,2,643.0878289860466
Controle,"NA",sim,PF,1,2,4,2,671.1473582752607
Controle,"NA",sim,PF,0,1,1,0,741.6346696570863
Controle,"NA",sim,PJ,3,6,6,0,523.6658859780206
Controle,"NA",sim,PF,2,2,3,1,539.8610409262176
Controle,"NA",sim,PJ,2,5,5,0,522.2567557155407
Controle,"NA",sim,PF,2,4,8,4,474.8306302829757
Controle,"NA",sim,PJ,4,4,5,1,643.7652983311299
Controle,"NA",sim,PF,1,4,4,0,678.4489072802867
Controle,"NA",sim,PF,1,4,4,0,476.9590368428203
Controle,"NA",sim,PJ,3,3,3,0,788.3947085749846
Controle,"NA",sim,PF,8,9,10,1,536.497398487669
Controle,"NA",sim,PF,2,0,0,0,547.5721860479497
Controle,"NA",sim,PF,1,0,1,1,666.8631480688767
Controle,"NA",sim,PF,1,1,1,0,463.61191771674737
Controle,"NA",sim,PF,3,3,4,1,629.2738583553776
Controle,"NA",não,PF,2,3,5,2,695.5640896897212
Controle,"NA",não,PJ,2,3,4,1,693.510381612612
Controle,"NA",não,PF,2,3,5,2,845.6666373796681
Controle,"NA",não,PF,1,1,0,-1,618.9175359691837
Controle,"NA",não,PJ,0,0,3,3,836.5571080818411
Controle,"NA",não,PJ,3,5,6,1,648.8872948832205
Controle,"NA",não,PF,1,3,4,1,746.3591468092292
Controle,"NA",não,PJ,2,2,4,2,779.3354748928507
Controle,"NA",não,PJ,1,1,1,0,608.366545765552
Controle,"NA",não,PF,1,2,3,1,546.3873901995613
Controle,"NA",não,PJ,1,2,4,2,642.581743282077
Controle,"NA",não,PF,2,5,7,2,605.9480793429138
Controle,"NA",não,PJ,2,4,5,1,572.5708294219885
Controle,"NA",não,PF,1,3,5,2,623.4172869057998
Controle,"NA",não,PF,2,5,5,0,607.7724827166301
